timestamp,ax,ay,az,gx,gy,gz,activity
1145315, 0.963013, -0.070801, -0.208130, 1.953125, -6.713869, -2.380371,crash_right_stick
1145335, 0.956299, -0.047852, -0.209839, 2.441406, -11.596684, -0.976563,crash_right_stick
1145355, 0.960693, -0.049438, -0.218628, -2.075195, -13.183598, 1.281738,crash_right_stick
1145375, 0.964600, -0.055542, -0.232666, -4.028320, -13.916019, 2.685547,crash_right_stick
1145395, 0.960938, -0.072754, -0.276001, 5.920412, -18.188477, 3.295899,crash_right_stick
1145415, 0.967773, -0.035278, -0.265625, -0.793457, -18.798828, 5.859377,crash_right_stick
1145436, 0.940063, -0.062500, -0.278931, -4.211426, -20.202637, 8.300781,crash_right_stick
1145456, 0.906982, -0.093384, -0.293579, -6.774904, -20.385742, 11.779789,crash_right_stick
1145476, 0.871582, -0.155273, -0.309326, 17.028809, -28.076180, 10.437012,crash_right_stick
1145496, 0.876099, -0.093384, -0.338257, 30.883797, -32.653809, 9.460449,crash_right_stick
1145516, 0.922119, -0.077881, -0.352783, 7.690432, -25.634773, 12.695316,crash_right_stick
1145536, 0.940674, -0.092773, -0.369385, -8.911133, -16.906738, 12.023930,crash_right_stick
1145556, 0.926880, -0.136108, -0.391357, -10.498047, -13.061527, 8.483887,crash_right_stick
1145576, 0.876587, -0.195190, -0.464355, 24.719246, -18.981934, -2.014160,crash_right_stick
1145596, 0.804077, -0.214233, -0.758667, 65.246582, -9.765625, -14.282230,crash_right_stick
1145616, 0.796387, -0.219849, -0.937256, 1.831055, 46.081558, -8.544922,crash_right_stick
1145636, 0.813599, -0.402954, -1.137329, -44.433609, 115.844757, -8.850098,crash_right_stick
1145656, 0.883911, -0.532227, -1.156128, -12.268070, 186.767639, -39.123535,crash_right_stick
1145676, 0.864746, -0.316406, -0.743042, 40.283203, 249.939026, -75.988770,crash_right_stick
1145696, 0.724976, 0.179810, 0.039429, 19.592285, 262.329102, -105.285675,crash_right_stick
1145716, 0.578125, 0.360596, 0.764526, -38.085938, 234.069885, -94.177277,crash_right_stick
1145736, 0.584839, 0.404053, 1.271118, 2.380371, 132.812500, -67.077637,crash_right_stick
1145756, 0.838013, 0.544678, 1.369751, 0.549316, 18.737793, -37.658691,crash_right_stick
1145776, 1.059448, 0.448975, 1.108887, -7.629396, -71.899414, -9.765625,crash_right_stick
1145796, 1.249146, 0.222656, 0.475098, -35.278320, -132.446289, 28.991707,crash_right_stick
1145816, 1.248901, 0.103271, 0.159180, -29.235847, -141.479492, 47.058121,crash_right_stick
1145836, 1.175781, 0.003052, -0.041626, -39.916992, -134.460449, 61.828629,crash_right_stick
1145856, 1.088867, -0.100952, -0.158813, -30.944832, -126.953156, 67.138672,crash_right_stick
1145876, 0.998169, -0.161987, -0.265991, -11.657719, -117.370636, 65.734863,crash_right_stick
1145896, 0.918457, -0.130493, -0.358643, -11.840824, -102.233917, 64.208984,crash_right_stick
1145916, 0.853271, -0.149170, -0.398193, -15.563969, -84.655762, 58.837906,crash_right_stick
1145936, 0.812988, -0.173950, -0.454346, -14.221195, -68.359375, 49.316422,crash_right_stick
1145956, 0.766113, -0.178345, -0.513306, -9.277344, -58.105484, 38.146973,crash_right_stick
1145976, 0.754761, -0.199463, -0.556763, -6.225588, -47.363297, 27.404793,crash_right_stick
1145996, 0.773315, -0.221558, -0.611938, 2.136230, -26.428230, 10.864258,crash_right_stick
1146016, 0.764526, -0.293945, -0.641846, 8.850098, -8.483887, 0.183106,crash_right_stick
1146036, 0.745483, -0.348145, -0.718750, 36.865234, 8.911133, -13.916019,crash_right_stick
1146056, 0.784302, -0.324341, -0.811646, 36.926270, 40.100098, -26.550301,crash_right_stick
1146076, 0.800903, -0.354248, -0.856689, 14.038090, 84.045410, -37.414551,crash_right_stick
1146096, 0.829346, -0.435425, -0.835205, 42.480469, 124.084503, -63.659683,crash_right_stick
1146116, 0.824707, -0.320679, -0.686646, 78.735352, 163.635254, -94.360382,crash_right_stick
1146136, 0.834717, -0.035400, -0.321899, 64.819336, 196.044983, -115.478546,crash_right_stick
1146156, 0.818970, 0.223999, 0.048218, -8.850098, 222.351135, -109.313995,crash_right_stick
1146176, 0.703125, 0.205078, 0.474365, -43.212891, 202.575745, -84.838867,crash_right_stick
1146196, 0.671143, 0.238525, 0.981079, 29.785164, 78.186035, -58.532730,crash_right_stick
1146216, 0.962280, 0.504639, 1.025146, -17.944336, 8.117676, -30.822762,crash_right_stick
1146236, 1.095337, 0.346680, 0.872437, -41.625977, -48.889175, -8.239746,crash_right_stick
1146256, 1.238159, 0.285278, 0.594238, -27.160652, -90.271027, 6.225588,crash_right_stick
1146276, 1.296753, 0.231079, 0.318237, -21.728516, -106.750519, 19.042969,crash_right_stick
1146296, 1.232666, 0.158691, 0.110352, -19.348145, -109.191925, 31.066902,crash_right_stick
1146316, 1.120361, 0.109253, -0.030762, -22.399910, -103.698761, 43.029785,crash_right_stick
1146336, 1.025391, 0.069824, -0.120361, -19.897461, -96.862823, 49.316422,crash_right_stick
1146356, 0.947632, -0.004150, -0.172119, -15.625004, -87.158203, 50.720230,crash_right_stick
1146376, 0.902710, -0.014404, -0.230103, 4.699707, -82.946777, 43.701172,crash_right_stick
1146396, 0.880005, 0.010498, -0.273315, 1.892090, -72.692871, 36.926270,crash_right_stick
1146416, 0.862915, -0.027832, -0.343140, -12.023930, -53.405777, 29.907234,crash_right_stick
1146436, 0.850952, -0.089722, -0.374878, -9.765625, -44.189453, 25.146492,crash_right_stick
1146456, 0.842285, -0.110229, -0.397827, 10.742188, -41.503906, 17.517090,crash_right_stick
1146476, 0.880127, -0.063232, -0.410522, 12.146000, -32.897949, 13.916019,crash_right_stick
1146496, 0.873657, -0.067017, -0.420166, 5.126953, -21.118164, 12.878422,crash_right_stick
1146516, 0.835571, -0.094360, -0.447510, 3.479005, -12.817387, 13.366703,crash_right_stick
1146536, 0.777588, -0.171875, -0.481934, 15.441898, -9.521484, 11.474613,crash_right_stick
1146556, 0.728271, -0.296387, -0.574829, 58.654800, -9.643555, 2.319336,crash_right_stick
1146576, 0.819580, -0.312134, -0.753296, 63.049332, 14.831547, -4.333496,crash_right_stick
1146596, 0.930176, -0.414307, -0.915894, 38.940430, 68.847656, -20.629883,crash_right_stick
1146616, 0.902710, -0.482788, -0.833252, 78.674316, 162.170410, -90.148956,crash_right_stick
1146636, 0.762329, -0.163940, -0.477661, 50.292984, 207.763733, -121.093781,crash_right_stick
1146656, 0.618896, 0.017578, -0.021729, -33.752441, 241.516174, -112.060577,crash_right_stick
1146676, 0.588623, 0.101807, 0.494873, -39.672852, 221.923889, -104.003937,crash_right_stick
1146696, 0.602417, 0.200439, 0.928467, -9.338379, 153.015137, -98.632843,crash_right_stick
1146716, 0.809692, 0.469849, 1.170044, 16.418457, 59.997574, -85.205078,crash_right_stick
1146736, 1.036621, 0.616821, 1.118408, -8.117676, -15.075687, -62.622086,crash_right_stick
1146756, 1.217651, 0.580566, 0.881592, -21.850586, -67.321777, -35.949707,crash_right_stick
1146776, 1.303101, 0.513306, 0.598755, -19.348145, -96.740753, -10.437012,crash_right_stick
1146796, 1.245361, 0.441650, 0.339233, -20.874023, -108.947784, 16.662598,crash_right_stick
1146816, 1.112793, 0.300537, 0.082886, -24.780281, -106.994659, 52.185074,crash_right_stick
1146836, 1.037354, 0.228882, -0.046021, -2.990724, -101.623566, 62.194839,crash_right_stick
1146856, 0.963745, 0.200562, -0.129272, 7.873537, -90.332062, 66.406250,crash_right_stick
1146876, 0.902954, 0.178101, -0.203491, 4.455566, -76.293945, 67.199707,crash_right_stick
1146896, 0.858643, 0.150391, -0.236450, -5.615236, -64.636230, 65.124512,crash_right_stick
1146916, 0.819458, 0.055786, -0.269165, -7.568361, -56.823746, 60.852066,crash_right_stick
1146936, 0.840576, 0.004028, -0.275269, 4.577637, -51.452652, 54.992691,crash_right_stick
1146956, 0.856201, -0.037598, -0.322998, 22.766121, -47.302261, 48.584000,crash_right_stick
1146976, 0.867310, -0.067627, -0.352417, 17.578125, -37.780762, 46.936050,crash_right_stick
1146996, 0.876221, -0.102783, -0.373291, 5.920412, -24.719246, 44.982925,crash_right_stick
1147016, 0.846191, -0.192017, -0.408081, 4.699707, -10.131836, 33.691406,crash_right_stick
1147036, 0.795166, -0.328369, -0.504395, 44.250504, -1.098633, 20.080566,crash_right_stick
