timestamp,ax,ay,az,gx,gy,gz,activity
838675, 0.425903, -0.937500, -0.006714, -4.516602, -16.967773, -9.399414,hihat_left
838695, 0.409790, -0.932983, -0.009277, -5.187988, -12.634281, -7.324221,hihat_left
838715, 0.442993, -0.911255, -0.043945, -4.760742, -5.981447, -7.568361,hihat_left
838735, 0.463989, -0.890869, -0.084351, -4.699707, -9.094238, -6.225588,hihat_left
838755, 0.404175, -0.893433, -0.098267, -5.493164, -10.864258, -4.577637,hihat_left
838775, 0.447144, -0.895996, -0.078857, -8.056641, -1.770020, 0.793457,hihat_left
838795, 0.446655, -0.882202, -0.063599, -4.272461, -11.962894, -1.281738,hihat_left
838815, 0.422119, -0.890869, -0.071289, 0.000000, -13.366703, -3.112794,hihat_left
838835, 0.436523, -0.903687, -0.083740, 3.173829, -13.366703, -1.708985,hihat_left
838855, 0.438354, -0.916992, -0.083862, 1.892090, -14.160160, 1.220703,hihat_left
838875, 0.415527, -0.938232, -0.054688, 3.234864, -13.244633, 0.366211,hihat_left
838895, 0.348022, -0.959839, -0.007446, -1.220703, 10.986328, 1.892090,hihat_left
838915, 0.395508, -0.938599, -0.045654, -5.065918, 26.916512, 5.126953,hihat_left
838935, 0.490845, -0.907104, -0.078369, -1.342773, 25.817879, 5.737307,hihat_left
838955, 0.528076, -0.918701, -0.053955, -1.037598, 12.817387, 4.516602,hihat_left
838975, 0.474365, -0.930176, -0.005493, -3.051759, 5.798342, 7.507326,hihat_left
838995, 0.493286, -0.938965, 0.020386, -4.272461, 5.676271, 12.268070,hihat_left
839015, 0.607056, -0.981934, 0.030762, -0.183106, -17.700195, 17.639160,hihat_left
839035, 0.785522, -0.992554, -0.067627, -6.835939, -72.937012, 24.353035,hihat_left
839055, 0.597046, -0.925659, -0.177734, -2.929688, -154.663086, 29.968269,hihat_left
839075, 0.104980, -0.898438, -0.155396, 16.235352, -206.298889, 27.099617,hihat_left
839095, -0.368652, -1.062744, -0.124268, 19.531250, -195.922913, 27.648933,hihat_left
839115, -0.296021, -1.016724, -0.010498, -4.272461, -138.732910, -5.371094,hihat_left
839135, -0.077393, -0.869629, 0.091431, -18.188477, -113.830597, -41.748047,hihat_left
839155, -0.026123, -0.836060, 0.025513, -9.460449, -76.599121, -83.496094,hihat_left
839175, -0.391968, -0.802856, -0.576538, -27.954109, 120.239288, -171.142578,hihat_left
839195, 0.184204, -0.537964, -0.714844, -3.112794, 362.793091, -164.123535,hihat_left
839215, 1.827637, -0.571899, 0.141724, 4.272461, 252.868713, -160.095215,hihat_left
839235, 2.491699, -0.700562, 1.101563, -15.380863, -64.880371, 21.484375,hihat_left
839255, 1.551392, -0.719849, 0.788330, 1.037598, -173.889160, 76.171875,hihat_left
839275, 0.307861, -1.160278, -0.077881, 0.244141, -68.603516, 56.579605,hihat_left
839295, 0.440186, -1.182129, -0.682617, -25.939949, -4.028320, 82.336426,hihat_left
839315, 0.601929, -0.917358, -0.665649, -16.418457, -4.089355, 168.151855,hihat_left
839335, 0.523071, -0.861206, -0.411865, -7.263186, -22.460945, 152.160645,hihat_left
839355, 0.295898, -0.912842, -0.230713, 1.525879, -51.391617, 80.200195,hihat_left
839375, 0.194946, -0.947510, -0.178711, -5.554201, -52.001968, 76.477051,hihat_left
839395, 0.012451, -0.890137, -0.149414, -7.324221, -26.550301, 83.312988,hihat_left
839415, -0.047607, -0.814575, -0.118652, -6.652834, -2.990724, 80.200195,hihat_left
839435, 0.046997, -0.812256, -0.098511, -13.061527, 8.422852, 57.800308,hihat_left
839455, -0.112671, -0.784302, -0.130371, -11.413578, -12.756351, 31.860359,hihat_left
839475, -0.461670, -0.802979, -0.154907, -6.835939, -42.297363, 0.305176,hihat_left
839495, -0.584595, -0.821045, 0.015991, -15.319828, -46.752945, -21.118164,hihat_left
839515, 0.010864, -0.775635, 0.230347, -9.765625, -19.653320, -64.208984,hihat_left
839535, -0.006958, -0.986572, -0.149536, -31.616219, 28.564461, -117.187531,hihat_left
839555, -0.399414, -0.870605, -0.708374, -48.950211, 203.064026, -146.301270,hihat_left
839575, 0.140747, -0.582397, -0.744873, -52.246109, 426.391724, -138.366699,hihat_left
839595, 0.971069, -0.448120, 0.024536, 15.808109, 482.605103, -194.580139,hihat_left
839615, 2.494507, -0.709961, 0.786377, 7.324221, 54.016129, -27.893074,hihat_left
839635, 2.027832, -1.004150, 0.913818, 60.607925, -234.497131, 67.749023,hihat_left
839655, 0.797607, -1.128052, 0.397705, 23.315437, -276.428223, 28.686531,hihat_left
839675, 0.154785, -1.155151, -0.295166, -22.155769, -210.022034, 41.687012,hihat_left
839695, -0.080078, -0.957642, -0.513550, -16.052246, -110.839874, 95.703156,hihat_left
839715, 0.164917, -0.931519, -0.468628, -31.433113, -7.995607, 120.178253,hihat_left
839735, 0.308716, -0.893799, -0.340820, -7.934572, -5.676271, 59.814468,hihat_left
839755, 0.503296, -0.867310, -0.290649, 4.760742, -57.739273, 63.903824,hihat_left
839775, 0.251465, -0.848755, -0.240845, 5.554201, -88.501007, 70.312500,hihat_left
839795, 0.115601, -0.811401, -0.169434, 8.361816, -89.355499, 61.584488,hihat_left
839815, 0.070557, -0.778076, -0.119629, 1.464844, -89.538605, 47.668472,hihat_left
839835, -0.028809, -0.743896, -0.102051, -2.502441, -83.984375, 29.479988,hihat_left
839855, -0.181152, -0.734863, -0.095215, -3.601075, -67.871094, 8.666992,hihat_left
839875, -0.266968, -0.745972, -0.142700, 0.610352, -60.607925, 6.286623,hihat_left
839895, -0.537476, -0.781738, -0.164429, 2.868653, -26.062019, -41.992188,hihat_left
839915, -0.399658, -0.792114, -0.068970, -5.615236, 6.896975, -76.232910,hihat_left
839935, 0.100464, -0.738403, -0.090820, -13.793949, 33.630371, -111.755402,hihat_left
839955, 0.370239, -0.768677, -0.304443, -26.184090, 60.485855, -146.545410,hihat_left
839975, -0.080933, -0.808105, -0.506104, -15.197758, 125.488312, -196.106018,hihat_left
839995, -0.156982, -0.672729, -0.753540, -3.967286, 295.043945, -216.857971,hihat_left
840015, 1.083130, -0.680298, -0.347290, 13.305668, 323.120117, -206.115784,hihat_left
840035, 2.181152, -0.520996, 0.968994, 20.324707, -79.406738, 40.466309,hihat_left
840055, 1.445190, -0.653320, 0.673096, 26.245125, -168.579102, 40.344238,hihat_left
840075, 0.652344, -0.976685, -0.109253, 42.541504, -127.624542, 34.729004,hihat_left
840095, 0.646973, -1.163208, -0.517334, 24.292000, -92.224152, 24.047859,hihat_left
840115, 0.346680, -1.049194, -0.472656, 18.188477, -54.504410, 95.520050,hihat_left
840135, 0.289307, -0.965332, -0.282104, 15.686039, -5.371094, 99.365265,hihat_left
840155, 0.538086, -0.999390, -0.151367, 11.962894, 5.554201, 63.110367,hihat_left
840175, 0.551025, -0.987061, -0.167725, 16.296387, -51.574722, 48.828140,hihat_left
840195, 0.353638, -0.935059, -0.280518, 19.348145, -83.862305, 63.354507,hihat_left
840215, 0.190430, -0.888428, -0.330444, 8.911133, -82.214355, 65.551758,hihat_left
840235, 0.033081, -0.841064, -0.269897, 2.563477, -59.631363, 29.663094,hihat_left
840255, -0.010132, -0.858154, -0.163330, 3.723145, -29.846199, 11.047363,hihat_left
840275, 0.098633, -0.899536, -0.104492, 3.967286, 0.671387, 7.934572,hihat_left
840295, 0.218994, -0.882690, -0.123535, 3.295899, 14.953617, -0.305176,hihat_left
840315, 0.238525, -0.838257, -0.101440, -7.507326, 23.132332, -19.042969,hihat_left
840335, 0.286377, -0.818726, -0.070313, -8.605957, 5.432129, -54.138199,hihat_left
840355, 0.312744, -0.861206, -0.017700, 0.244141, -38.818359, -89.660675,hihat_left
840375, 0.317627, -0.965210, -0.070068, -12.023930, -48.828140, -112.915070,hihat_left
840395, 0.062500, -1.020264, -0.377075, -1.525879, 49.255386, -152.465820,hihat_left
840415, -0.040771, -0.911377, -0.770020, -45.288101, 221.801819, -179.992737,hihat_left
840435, 0.564697, -0.340210, -0.003662, -66.040039, 313.171387, -104.553253,hihat_left
840455, 2.906250, -0.103271, 0.954712, -59.814468, 107.971222, 35.095215,hihat_left
840475, 1.766113, -0.644775, 0.493652, 42.907715, -54.199234, 91.369659,hihat_left
840495, 0.825317, -1.126343, -0.026611, 41.687012, -123.107941, 21.972656,hihat_left
840515, 0.219238, -1.192261, -0.450806, -0.183106, -144.348145, 26.794441,hihat_left
840535, 0.007324, -0.987183, -0.470093, 8.666992, -73.913574, 74.401855,hihat_left
840555, 0.255859, -0.919312, -0.354126, -2.380371, 1.953125, 86.853027,hihat_left
840575, 0.574707, -0.930908, -0.268188, -4.211426, 3.723145, 62.255875,hihat_left
840595, 0.514160, -0.938110, -0.226440, -15.563969, -25.207527, 47.485367,hihat_left
840615, 0.353149, -0.814941, -0.161255, -9.948730, -28.015144, 41.931152,hihat_left
840635, 0.297974, -0.818970, -0.146484, -2.258301, -22.094727, 33.691406,hihat_left
840656, 0.237793, -0.848999, -0.118652, -1.525879, -30.273445, 26.977547,hihat_left
840676, 0.174683, -0.840576, -0.129395, -5.432129, -44.799820, 24.902351,hihat_left
840696, 0.215454, -0.794800, -0.153564, -3.112794, -41.076660, 33.020020,hihat_left
840716, 0.220703, -0.787720, -0.182739, 3.295899, -32.531738, 17.089844,hihat_left
840736, -0.002563, -0.787964, -0.204590, 6.835939, -27.099617, -7.873537,hihat_left
840756, -0.178955, -0.878540, -0.072144, 0.610352, -32.775879, -4.699707,hihat_left
840776, -0.069336, -0.808105, -0.017212, -5.249023, 5.187988, -75.927734,hihat_left
840796, 0.688965, -0.769287, -0.158813, -15.686039, 1.159668, -136.108398,hihat_left
840816, 0.724121, -0.846436, -0.509155, -3.540040, -25.878914, -138.916016,hihat_left
840836, 0.679565, -0.754395, -0.845459, 10.742188, 28.137215, -122.680695,hihat_left
840856, 1.042969, -0.806641, -0.328857, -28.076180, 80.200195, -125.122101,hihat_left
