timestamp,ax,ay,az,gx,gy,gz,activity
1318162, 0.241211, -0.906738, -0.405884, 3.173829, -0.244141, 9.765625,hihat_left_highintensity
1318182, 0.257690, -0.905029, -0.420898, 0.854492, 0.671387, 8.728027,hihat_left_highintensity
1318202, 0.282104, -0.889526, -0.415405, 1.159668, -5.920412, 9.460449,hihat_left_highintensity
1318222, 0.268433, -0.884033, -0.389160, 3.845216, -13.305668, 11.962894,hihat_left_highintensity
1318242, 0.239014, -0.903809, -0.364868, 4.943848, -16.906738, 14.160160,hihat_left_highintensity
1318262, 0.204468, -0.910767, -0.364624, 2.990724, -14.038090, 16.418457,hihat_left_highintensity
1318282, 0.177856, -0.907471, -0.378418, 0.854492, -8.361816, 15.930180,hihat_left_highintensity
1318302, 0.172852, -0.908203, -0.394531, -0.488281, -3.967286, 15.319828,hihat_left_highintensity
1318322, 0.169312, -0.911377, -0.389648, -1.037598, -5.004883, 14.831547,hihat_left_highintensity
1318342, 0.149902, -0.903076, -0.379761, -0.488281, -9.399414, 14.587406,hihat_left_highintensity
1318362, 0.113281, -0.900146, -0.368896, 0.366211, -8.666992, 15.075687,hihat_left_highintensity
1318382, 0.091187, -0.912476, -0.383911, 0.366211, -5.004883, 13.977055,hihat_left_highintensity
1318402, 0.110718, -0.923218, -0.408081, -2.441406, -2.075195, 11.108402,hihat_left_highintensity
1318422, 0.128662, -0.915039, -0.413696, -4.150391, -5.004883, 8.728027,hihat_left_highintensity
1318442, 0.081177, -0.901001, -0.385742, -0.915528, -13.427738, 6.347658,hihat_left_highintensity
1318462, 0.052490, -0.911743, -0.371826, 1.220703, -15.808109, 6.103518,hihat_left_highintensity
1318482, 0.027832, -0.917114, -0.368774, 0.793457, -16.906738, 3.540040,hihat_left_highintensity
1318502, 0.006348, -0.916748, -0.378784, 0.488281, -22.399910, -0.183106,hihat_left_highintensity
1318522, -0.103271, -0.924316, -0.379517, 1.647950, -33.813477, -11.962894,hihat_left_highintensity
1318542, -0.071289, -0.927368, -0.302002, 1.159668, -56.945816, -39.123535,hihat_left_highintensity
1318562, -0.155273, -0.879639, -0.380981, -14.221195, -53.833023, -72.692871,hihat_left_highintensity
1318582, -0.230591, -0.875610, -0.461548, -30.700691, -24.902351, -99.182159,hihat_left_highintensity
1318602, -0.223267, -0.758301, -0.559814, -37.170410, 92.407257, -128.906250,hihat_left_highintensity
1318622, -0.210205, -0.766113, -0.490356, -17.944336, 205.932678, -139.587402,hihat_left_highintensity
1318642, -0.021729, -0.735596, -0.407837, 5.310059, 265.258789, -153.320313,hihat_left_highintensity
1318662, 0.709961, -0.741699, -0.216919, 16.784668, 205.688538, -152.954102,hihat_left_highintensity
1318682, 1.310059, -0.660889, -0.071289, 30.578621, 61.401382, -102.661163,hihat_left_highintensity
1318702, 1.155884, -0.793579, -0.028076, 18.676758, -11.535648, -63.537613,hihat_left_highintensity
1318722, 1.244873, -0.771484, -0.093018, -15.686039, -45.715347, 34.057617,hihat_left_highintensity
1318742, 1.117432, -0.838257, -0.323608, -18.310547, -51.086441, 73.669434,hihat_left_highintensity
1318762, 0.831421, -0.860840, -0.492188, -20.080566, -66.894531, 95.092804,hihat_left_highintensity
1318782, 0.468628, -0.784180, -0.496094, -23.681648, -79.223633, 106.445343,hihat_left_highintensity
1318802, 0.249268, -0.753418, -0.365234, -16.113281, -79.711914, 117.004425,hihat_left_highintensity
1318822, 0.124146, -0.745483, -0.257324, -11.535648, -59.997574, 101.440460,hihat_left_highintensity
1318842, 0.156128, -0.676270, -0.363281, 18.127441, -79.589844, 7.080080,hihat_left_highintensity
1318862, -0.231689, -0.758179, -0.450317, 38.818359, -74.401855, -25.634773,hihat_left_highintensity
1318882, -0.454712, -0.922974, -0.584229, -9.033203, 35.461426, -27.160652,hihat_left_highintensity
1318902, -0.382935, -0.790649, -0.616943, -21.911621, 140.869141, -62.316910,hihat_left_highintensity
1318922, 0.148560, -0.729248, -0.520752, -8.117676, 162.841797, -114.624054,hihat_left_highintensity
1318942, 0.582397, -0.766968, -0.367554, 18.493652, 108.032257, -111.022980,hihat_left_highintensity
1318962, 0.405518, -0.893066, -0.016724, 8.544922, 86.730957, -102.417023,hihat_left_highintensity
1318982, 0.549194, -0.806152, 0.047729, 11.108402, 85.693359, -57.189957,hihat_left_highintensity
1319002, 1.351074, -0.775879, -0.160400, -22.644051, 43.640137, -10.131836,hihat_left_highintensity
1319022, 1.536987, -0.696045, -0.203247, -9.643555, -97.717316, 36.132813,hihat_left_highintensity
1319042, 0.930054, -0.844482, -0.345947, -0.671387, -148.681641, 47.790543,hihat_left_highintensity
1319062, 0.595215, -0.851685, -0.388306, -8.544922, -139.160156, 69.641113,hihat_left_highintensity
1319082, 0.413574, -0.746826, -0.370850, -13.366703, -109.436066, 101.074249,hihat_left_highintensity
1319102, 0.274536, -0.721558, -0.421875, 3.295899, -100.952179, 96.496613,hihat_left_highintensity
1319122, 0.060791, -0.742676, -0.499512, 21.484375, -87.280273, 44.067383,hihat_left_highintensity
1319142, 0.028564, -0.797607, -0.509888, 11.840824, -50.598160, 62.011734,hihat_left_highintensity
1319162, -0.032959, -0.828003, -0.532837, 6.835939, 3.723145, 65.551758,hihat_left_highintensity
1319182, 0.066650, -0.858398, -0.528198, -0.183106, 25.939949, 27.099617,hihat_left_highintensity
1319202, 0.186035, -0.861450, -0.445923, -5.249023, 0.366211, -3.662110,hihat_left_highintensity
1319222, 0.214966, -0.850830, -0.291992, 0.366211, -27.160652, -8.789063,hihat_left_highintensity
1319242, 0.348022, -0.814819, -0.311157, 10.803223, -36.560059, -37.353516,hihat_left_highintensity
1319262, 0.197144, -0.814575, -0.475586, 30.212410, -35.278320, -85.144043,hihat_left_highintensity
1319282, -0.109741, -0.901855, -0.589722, -7.995607, 85.388184, -87.707520,hihat_left_highintensity
1319302, -0.273315, -0.762817, -0.156006, -0.122070, 240.295471, -107.177765,hihat_left_highintensity
1319322, 0.921021, -0.823853, -0.070923, -0.488281, 116.455109, -56.457535,hihat_left_highintensity
1319342, 1.195557, -0.724854, -0.154175, 5.310059, -42.846680, -26.855476,hihat_left_highintensity
1319362, 0.792236, -0.832275, -0.275513, 16.784668, -126.831085, -17.333984,hihat_left_highintensity
1319382, 0.914551, -0.915161, -0.376587, 7.568361, -116.699249, 20.141602,hihat_left_highintensity
1319402, 0.770874, -0.867554, -0.412842, 0.305176, -103.149445, 33.813477,hihat_left_highintensity
1319422, 0.625366, -0.784302, -0.403687, 0.122070, -97.045929, 50.415054,hihat_left_highintensity
1319442, 0.323486, -0.760620, -0.416138, 15.686039, -88.623077, 52.734390,hihat_left_highintensity
1319462, 0.225464, -0.796753, -0.480347, 18.676758, -68.725586, 68.115234,hihat_left_highintensity
1319482, -0.041016, -0.774048, -0.549805, 12.817387, -9.765625, 30.578621,hihat_left_highintensity
1319502, 0.140991, -0.820313, -0.512939, 7.873537, 9.765625, 15.930180,hihat_left_highintensity
1319522, 0.324951, -0.836426, -0.419067, 12.084965, -12.695316, 17.761230,hihat_left_highintensity
1319542, 0.361450, -0.867188, -0.352783, 10.253906, -42.541504, -1.708985,hihat_left_highintensity
1319562, 0.194214, -0.875122, -0.338867, -0.122070, -40.344238, -12.634281,hihat_left_highintensity
1319582, 0.135864, -0.819336, -0.476318, -7.141115, 42.541504, -42.602539,hihat_left_highintensity
1319602, 0.011108, -0.864136, -0.599976, -1.831055, 110.961945, -79.223633,hihat_left_highintensity
1319622, -0.152222, -0.896118, -0.536621, -12.268070, 189.209045, -87.463379,hihat_left_highintensity
1319642, -0.023804, -0.892700, -0.241821, -18.005371, 210.327209, -89.355499,hihat_left_highintensity
1319662, 0.580688, -0.743164, -0.082520, -5.310059, 123.107941, -57.128922,hihat_left_highintensity
1319682, 1.106445, -0.630615, -0.204468, 17.700195, 10.192871, -34.606934,hihat_left_highintensity
1319702, 1.052734, -0.824829, -0.057495, 6.530764, -83.984375, -34.667969,hihat_left_highintensity
1319722, 1.034912, -0.780518, -0.236816, 3.845216, -116.027863, 21.911621,hihat_left_highintensity
1319742, 0.876465, -0.854004, -0.334351, 3.295899, -87.280273, 47.485367,hihat_left_highintensity
1319762, 0.715820, -0.862183, -0.337646, -17.761230, -51.879898, 84.777832,hihat_left_highintensity
1319782, 0.688477, -0.790649, -0.398315, -13.732914, -41.198730, 90.698273,hihat_left_highintensity
1319802, 0.442505, -0.725098, -0.414185, -12.084965, -45.471207, 85.754395,hihat_left_highintensity
1319822, 0.321411, -0.719727, -0.452026, 8.300781, -59.204117, 50.781265,hihat_left_highintensity
1319842, 0.167358, -0.754028, -0.499878, 14.038090, -54.687515, 56.396500,hihat_left_highintensity
1319862, 0.010010, -0.817017, -0.456299, 6.408693, -19.775391, 48.278824,hihat_left_highintensity
1319882, -0.045166, -0.875122, -0.424927, 4.211426, -7.080080, 38.269043,hihat_left_highintensity
1319902, -0.023438, -0.911133, -0.331299, 0.732422, -0.854492, 30.334480,hihat_left_highintensity
1319922, 0.071045, -0.933472, -0.301758, 5.615236, -32.165527, -15.563969,hihat_left_highintensity
1319942, 0.002197, -0.904907, -0.542969, -9.094238, -35.522461, -70.434570,hihat_left_highintensity
1319962, -0.345215, -0.878052, -0.797485, -29.357918, 80.993652, -94.177277,hihat_left_highintensity
1319982, -0.264893, -0.709229, -0.808594, -29.113777, 289.428711, -128.662109,hihat_left_highintensity
1320002, 0.070068, -0.653687, 0.118286, 8.544922, 303.283691, -145.202637,hihat_left_highintensity
1320022, 1.167236, -0.701782, 0.294922, 8.911133, 118.408234, -34.790039,hihat_left_highintensity
1320042, 1.297241, -0.709717, 0.186035, -1.953125, -45.349136, -64.270020,hihat_left_highintensity
1320062, 1.458740, -0.846558, -0.161133, -5.371094, -169.189453, 42.785645,hihat_left_highintensity
1320082, 0.988281, -0.990356, -0.538330, -13.488773, -143.066406, 42.236328,hihat_left_highintensity
1320102, 0.807007, -0.858765, -0.497314, -32.043457, -111.145050, 90.942413,hihat_left_highintensity
1320122, 0.619507, -0.682739, -0.448120, -9.277344, -91.980011, 115.966827,hihat_left_highintensity
1320142, 0.185791, -0.669067, -0.474243, 26.184090, -88.928253, 69.824219,hihat_left_highintensity
1320162, -0.150513, -0.749390, -0.590576, 16.845703, -16.540527, 58.715836,hihat_left_highintensity
1320182, -0.256836, -0.708496, -0.598267, 25.939949, 39.306641, 29.479988,hihat_left_highintensity
1320202, 0.089966, -0.952637, -0.387817, 31.188972, 3.906251, -6.347658,hihat_left_highintensity
1320222, 0.269653, -0.922729, -0.266968, 12.939457, -57.556168, 3.723145,hihat_left_highintensity
1320242, 0.167603, -0.868164, -0.391602, -0.732422, -58.715836, -39.855957,hihat_left_highintensity
1320262, -0.074951, -0.889160, -0.684082, -12.695316, 34.179688, -70.800781,hihat_left_highintensity
1320282, -0.280029, -0.751343, -0.794189, -17.883301, 198.486389, -117.980988,hihat_left_highintensity
1320302, -0.196045, -0.689819, -0.086914, -2.868653, 242.309631, -128.906250,hihat_left_highintensity
1320322, 0.810791, -0.838745, 0.206787, -4.211426, 98.510773, -45.471207,hihat_left_highintensity
1320342, 0.965576, -0.758911, 0.014404, 2.990724, -18.737793, -60.363785,hihat_left_highintensity
1320362, 1.097168, -0.903076, -0.182495, -9.582520, -129.272461, -4.638672,hihat_left_highintensity
1320382, 1.013306, -0.937622, -0.429443, -16.540527, -133.239746, 31.982430,hihat_left_highintensity
1320402, 0.847534, -0.816406, -0.486694, -24.292000, -102.783234, 57.128922,hihat_left_highintensity
1320422, 0.737671, -0.814575, -0.357910, -10.742188, -95.214874, 79.711914,hihat_left_highintensity
