timestamp,ax,ay,az,gx,gy,gz,activity
33758, 0.000000, 0.693359, -0.225708, 0.577148, -88.073730, -21.484375, 6.408693,left_down
33778, 0.000000, 0.693970, -0.277466, 0.627808, -25.146492, -14.221195, 1.281738,left_down
33798, 0.000000, 0.736694, -0.201416, 0.629517, 5.126953, -8.117676, 3.417970,left_down
33818, 0.000000, 0.739990, -0.013062, 0.656860, 3.112794, -3.540040, 8.300781,left_down
33838, 0.000000, 0.722168, -0.071655, 0.644165, -20.690918, -1.708985, 18.188477,left_down
33858, 0.000000, 0.713745, -0.009644, 0.687500, -37.719727, 1.708985, 28.320320,left_down
33878, 0.000000, 0.675171, -0.251465, 0.685669, -37.353516, 6.896975, 37.048340,left_down
33898, 0.000000, 0.698364, -0.231567, 0.695190, 7.324221, 11.169437, 35.949707,left_down
33918, 0.000000, 0.682129, -0.192627, 0.667725, 4.150391, 9.887695, 42.114258,left_down
33938, 0.000000, 0.659058, -0.251709, 0.590332, 28.991707, 5.493164, 37.780762,left_down
33958, 0.000000, 0.704468, -0.188965, 0.688721, 64.697266, 2.075195, 29.052742,left_down
33978, 0.000000, 0.649658, -0.177979, 0.735596, 61.096207, 1.403809, 31.433113,left_down
33998, 0.000000, 0.614624, 0.026245, 0.801147, 42.480469, 2.014160, 39.855957,left_down
34018, 0.000000, 0.658936, -0.023926, 0.810669, -14.160160, -1.647950, 52.490250,left_down
34038, 0.000000, 0.656982, -0.303589, 0.730591, -12.634281, -4.760742, 49.743668,left_down
34058, 0.000000, 0.702393, -0.247559, 0.759155, -8.972168, -7.141115, 42.907715,left_down
34078, 0.000000, 0.699463, -0.397949, 0.759888, -3.051759, -7.385256, 34.851074,left_down
34098, 0.000000, 0.698364, -0.378296, 0.782837, 31.250008, -6.286623, 19.531250,left_down
34118, 0.000000, 0.708374, -0.397217, 0.741943, 52.978531, -10.620117, 6.347658,left_down
34138, 0.000000, 0.791016, -0.234985, 0.763062, 113.891632, -14.831547, -19.042969,left_down
34158, 0.000000, 0.586670, 0.080811, 0.837524, 78.613281, -18.310547, -15.197758,left_down
34178, 0.000000, 0.633057, -0.167725, 0.797974, 7.690432, -21.118164, 4.089355,left_down
34198, 0.000000, 0.673340, -0.158691, 0.743530, 2.685547, -16.296387, 5.432129,left_down
34218, 0.000000, 0.656616, -0.197388, 0.612549, -22.460945, -12.207035, 6.774904,left_down
34238, 0.000000, 0.640503, -0.202271, 0.612183, -33.508301, -5.554201, 2.868653,left_down
34258, 0.000000, 0.659912, -0.208496, 0.637451, -50.292984, 3.173829, -10.192871,left_down
34278, 0.000000, 0.646240, -0.354370, 0.631470, -32.287598, 18.615723, -20.874023,left_down
34298, 0.000000, 0.645996, -0.346436, 0.600830, -5.432129, 22.949226, -30.029305,left_down
34318, 0.000000, 0.625610, -0.165161, 0.662842, -6.164553, 27.282722, -33.996582,left_down
34338, 0.000000, 0.561401, -0.707153, 0.535889, 27.099617, 31.433113, -39.916992,left_down
