timestamp,ax,ay,az,gx,gy,gz,activity
177446, 0.000000, 0.906738, 0.301025, 0.197021, 1.647950, -0.671387, 4.699707,left_up
177466, 0.000000, 0.906860, 0.313354, 0.209473, 8.361816, -0.183106, 2.807618,left_up
177486, 0.000000, 0.907593, 0.335693, 0.219116, 9.826660, -1.586915, 2.990724,left_up
177506, 0.000000, 0.906738, 0.362671, 0.227295, -1.586915, -4.638672, 6.225588,left_up
177526, 0.000000, 0.911499, 0.332520, 0.222290, -11.657719, -7.812502, 8.789063,left_up
177546, 0.000000, 0.919800, 0.300415, 0.220337, -8.544922, -9.460449, 7.873537,left_up
177566, 0.000000, 0.911377, 0.304565, 0.215210, 0.000000, -10.498047, 6.958010,left_up
177586, 0.000000, 0.910278, 0.322754, 0.208252, 7.385256, -11.108402, 7.202150,left_up
177606, 0.000000, 0.906860, 0.364502, 0.212524, -9.094238, -12.329105, 12.817387,left_up
177626, 0.000000, 0.912476, 0.304810, 0.200928, -16.052246, -13.488773, 15.075687,left_up
177646, 0.000000, 0.927368, 0.299438, 0.228638, -8.117676, -13.977055, 13.488773,left_up
177666, 0.000000, 0.912476, 0.326538, 0.225830, -3.356935, -17.456055, 15.258793,left_up
177686, 0.000000, 0.910034, 0.305298, 0.202759, -8.605957, -24.353035, 21.972656,left_up
177706, 0.000000, 0.903564, 0.253540, 0.149780, -10.253906, -29.174812, 25.634773,left_up
177726, 0.000000, 0.909546, 0.194336, 0.067261, -15.625004, -29.968269, 26.428230,left_up
177746, 0.000000, 0.906738, 0.103516, -0.026855, -22.460945, -25.451668, 23.193367,left_up
177766, 0.000000, 0.902100, -0.025879, -0.175415, -9.338379, -14.953617, 12.023930,left_up
177786, 0.000000, 0.916626, -0.067505, -0.288086, 17.028809, 3.417970, -6.835939,left_up
177806, 0.000000, 0.925903, -0.064453, -0.239258, 33.752441, 34.667969, -28.686531,left_up
177826, 0.000000, 0.955444, 0.087769, -0.069214, 44.250504, 78.308105, -54.504410,left_up
177846, 0.000000, 0.937378, 0.272827, 0.055176, 22.521980, 108.154327, -68.420410,left_up
177866, 0.000000, 0.866943, 0.381348, 0.265259, -3.051759, 116.394073, -68.542480,left_up
177886, 0.000000, 0.789307, 0.449585, 0.459961, 8.850098, 95.031769, -54.077164,left_up
177906, 0.000000, 0.758667, 0.669312, 0.672241, 8.850098, 62.683121, -33.813477,left_up
177926, 0.000000, 0.771240, 0.682861, 0.701294, -1.525879, 23.925789, -9.155273,left_up
177946, 0.000000, 0.812866, 0.613403, 0.674438, -6.103518, -10.437012, 9.704590,left_up
177966, 0.000000, 0.853760, 0.571167, 0.607056, -8.178711, -35.827637, 20.935059,left_up
177986, 0.000000, 0.867432, 0.515747, 0.520508, -15.991215, -54.077164, 29.724129,left_up
178006, 0.000000, 0.880859, 0.438599, 0.427856, -15.686039, -65.795898, 35.400391,left_up
178026, 0.000000, 0.879028, 0.343872, 0.334229, -6.652834, -72.448730, 38.635254,left_up
178046, 0.000000, 0.893311, 0.298584, 0.240112, 5.615236, -74.768066, 39.306641,left_up
178066, 0.000000, 0.911011, 0.277344, 0.171997, 8.666992, -73.242188, 37.902832,left_up
178086, 0.000000, 0.927490, 0.247314, 0.105591, 9.826660, -67.871094, 34.240723,left_up
178106, 0.000000, 0.917725, 0.242920, 0.039185, 5.920412, -60.729996, 31.799324,left_up
178126, 0.000000, 0.919067, 0.208252, -0.017090, -3.967286, -52.063004, 30.761726,left_up
178146, 0.000000, 0.903687, 0.152222, -0.066528, -6.347658, -40.405273, 27.526863,left_up
178166, 0.000000, 0.909424, 0.113159, -0.129150, -5.615236, -19.287109, 18.920898,left_up
178186, 0.000000, 0.903809, 0.039185, -0.201050, -11.047363, -2.075195, 9.521484,left_up
178206, 0.000000, 0.908569, 0.000854, -0.253296, -1.525879, 18.432617, -7.263186,left_up
178226, 0.000000, 0.915771, 0.012085, -0.255493, 7.812502, 41.259766, -27.709969,left_up
178246, 0.000000, 0.925781, 0.072998, -0.140137, 7.080080, 66.833496, -46.630875,left_up
178266, 0.000000, 0.928711, 0.223633, 0.053223, -6.225588, 89.843781, -60.791031,left_up
178286, 0.000000, 0.918457, 0.301270, 0.258911, -18.310547, 101.806671, -68.298340,left_up
178306, 0.000000, 0.830322, 0.343262, 0.432373, 6.713869, 97.778351, -69.030762,left_up
178326, 0.000000, 0.782959, 0.532593, 0.588379, 19.470215, 74.340820, -53.833023,left_up
178346, 0.000000, 0.809326, 0.672241, 0.692749, 5.798342, 40.405273, -29.479988,left_up
178366, 0.000000, 0.824951, 0.691895, 0.712769, -6.713869, 5.737307, -7.873537,left_up
178386, 0.000000, 0.833008, 0.626343, 0.635376, -18.554688, -26.733406, 13.366703,left_up
178406, 0.000000, 0.847046, 0.489136, 0.513794, -25.756844, -50.476089, 29.785164,left_up
178426, 0.000000, 0.873535, 0.343872, 0.392578, -10.253906, -61.523453, 33.752441,left_up
178446, 0.000000, 0.895020, 0.320068, 0.298218, 4.333496, -64.147949, 31.066902,left_up
178466, 0.000000, 0.909912, 0.295898, 0.182861, 0.732422, -62.438980, 28.137215,left_up
178486, 0.000000, 0.923828, 0.283691, 0.126221, -7.812502, -59.204117, 25.207527,left_up
178506, 0.000000, 0.921753, 0.247314, 0.083374, -9.826660, -53.894058, 22.644051,left_up
178526, 0.000000, 0.915771, 0.215698, 0.050537, -2.075195, -46.325699, 19.714355,left_up
178546, 0.000000, 0.913696, 0.214844, 0.020386, 7.812502, -38.208008, 17.333984,left_up
178566, 0.000000, 0.910278, 0.250977, 0.014404, 9.521484, -30.334480, 16.235352,left_up
178586, 0.000000, 0.902832, 0.266724, -0.018066, -2.563477, -24.169930, 18.066406,left_up
178606, 0.000000, 0.896484, 0.219604, -0.067505, -15.686039, -18.981934, 20.507813,left_up
178626, 0.000000, 0.895752, 0.142822, -0.115967, -19.409180, -11.291508, 19.226074,left_up
178646, 0.000000, 0.891968, 0.078979, -0.165894, -13.549809, 0.610352, 11.901859,left_up
178666, 0.000000, 0.906860, 0.039917, -0.227051, -11.535648, 16.418457, 0.488281,left_up
178686, 0.000000, 0.920898, 0.006470, -0.232300, -15.808109, 37.292480, -14.404301,left_up
178706, 0.000000, 0.933838, 0.048340, -0.085571, -7.690432, 68.359375, -39.367676,left_up
178726, 0.000000, 0.978149, 0.144531, 0.047852, 20.751953, 100.952179, -87.768555,left_up
178746, 0.000000, 0.908813, 0.361206, 0.250122, 15.319828, 118.835480, -88.501007,left_up
178766, 0.000000, 0.796875, 0.407471, 0.399780, 6.286623, 111.022980, -76.110840,left_up
178786, 0.000000, 0.783813, 0.554321, 0.583862, 18.005371, 94.665558, -60.424820,left_up
178806, 0.000000, 0.769897, 0.669434, 0.692139, 35.217285, 67.260742, -39.794922,left_up
178826, 0.000000, 0.756592, 0.838989, 0.725952, 21.240234, 26.672371, -4.272461,left_up
178846, 0.000000, 0.779907, 0.795898, 0.695557, -15.441898, -14.587406, 34.301758,left_up
178866, 0.000000, 0.814941, 0.626953, 0.599365, -29.724129, -43.701172, 57.434097,left_up
178886, 0.000000, 0.847412, 0.486084, 0.509399, -27.954109, -59.997574, 66.589355,left_up
178906, 0.000000, 0.875977, 0.335205, 0.406982, -13.488773, -66.894531, 67.077637,left_up
178926, 0.000000, 0.891602, 0.267822, 0.299194, 7.934572, -67.260742, 61.340347,left_up
178946, 0.000000, 0.907227, 0.237915, 0.198242, 11.352543, -65.429688, 55.603043,left_up
178966, 0.000000, 0.911987, 0.220093, 0.149902, 7.385256, -60.729996, 48.400894,left_up
178986, 0.000000, 0.905396, 0.187622, 0.106201, -4.760742, -54.687515, 43.151855,left_up
179006, 0.000000, 0.901001, 0.149048, 0.072754, -10.437012, -47.180191, 38.024902,left_up
179026, 0.000000, 0.892822, 0.061523, 0.045654, 6.408693, -32.897949, 26.855476,left_up
179046, 0.000000, 0.897339, 0.081177, 0.024170, 18.005371, -23.498543, 19.348145,left_up
179066, 0.000000, 0.889160, 0.114990, 0.007813, 12.023930, -16.235352, 14.648441,left_up
179086, 0.000000, 0.881958, 0.119263, -0.014648, -11.840824, -10.314941, 12.695316,left_up
179106, 0.000000, 0.869385, 0.071167, -0.059204, -31.799324, -4.150391, 9.277344,left_up
179126, 0.000000, 0.877686, 0.014038, -0.101807, -44.067383, 3.967286, 2.685547,left_up
179146, 0.000000, 0.870361, 0.003906, -0.166382, -49.987808, 15.380863, -7.446291,left_up
179166, 0.000000, 0.892944, -0.051392, -0.208252, -57.312027, 30.029305, -20.141602,left_up
179186, 0.000000, 0.965210, -0.096558, 0.002197, -16.784668, 61.828629, -49.865738,left_up
179206, 0.000000, 1.019043, -0.004883, 0.153320, 51.940933, 101.135284, -87.463379,left_up
179226, 0.000000, 0.981323, 0.218628, 0.210327, 66.650391, 122.619659, -104.675323,left_up
179246, 0.000000, 0.890137, 0.409546, 0.300781, 23.437508, 123.230011, -94.970734,left_up
179266, 0.000000, 0.807373, 0.386719, 0.449463, -3.723145, 116.088898, -80.566406,left_up
179286, 0.000000, 0.808350, 0.374634, 0.640747, 37.536621, 107.605011, -79.895020,left_up
179306, 0.000000, 0.733643, 0.836548, 0.760132, 56.335464, 61.889664, -54.016129,left_up
179326, 0.000000, 0.700073, 0.919922, 0.796753, -4.394531, 13.854984, -11.840824,left_up
179346, 0.000000, 0.753052, 0.724487, 0.759644, -31.982430, -27.587898, 17.639160,left_up
179366, 0.000000, 0.776611, 0.575195, 0.690674, -17.211914, -55.664078, 30.822762,left_up
179386, 0.000000, 0.794189, 0.504150, 0.583862, -7.629396, -75.073242, 40.527344,left_up
179406, 0.000000, 0.822998, 0.429199, 0.465332, -4.028320, -86.914063, 45.166031,left_up
179426, 0.000000, 0.850830, 0.387207, 0.357300, -8.422852, -92.651398, 45.410172,left_up
179446, 0.000000, 0.861694, 0.341064, 0.275635, -18.249512, -93.627960, 43.151855,left_up
179466, 0.000000, 0.875610, 0.292603, 0.216797, -22.888191, -89.660675, 38.574219,left_up
179486, 0.000000, 0.878174, 0.222412, 0.156982, -20.446777, -82.214355, 33.813477,left_up
179506, 0.000000, 0.873535, 0.149048, 0.085449, 2.441406, -72.509766, 27.038582,left_up
179526, 0.000000, 0.868896, 0.186279, 0.045898, 21.667480, -62.194839, 21.423340,left_up
179546, 0.000000, 0.858765, 0.233032, 0.007813, 22.705086, -52.063004, 18.615723,left_up
179566, 0.000000, 0.848877, 0.265259, -0.009521, 6.164553, -42.175293, 18.005371,left_up
179586, 0.000000, 0.849731, 0.219727, -0.065308, -27.038582, -25.939949, 19.287109,left_up
179606, 0.000000, 0.845703, 0.135986, -0.106445, -38.574219, -12.695316, 18.737793,left_up
179626, 0.000000, 0.852661, 0.076782, -0.174561, -32.714844, 2.746582, 13.061527,left_up
179646, 0.000000, 0.859253, 0.046021, -0.264893, -24.292000, 19.226074, 3.051759,left_up
179666, 0.000000, 0.899048, 0.050415, -0.172241, -4.455566, 43.823242, -15.380863,left_up
179686, 0.000000, 0.956055, 0.146118, -0.060669, 15.869144, 76.538086, -37.963867,left_up
179706, 0.000000, 0.977783, 0.281860, 0.022583, 8.300781, 103.332550, -51.635757,left_up
179726, 0.000000, 0.946899, 0.336548, 0.143921, -17.944336, 120.544464, -53.894058,left_up
179746, 0.000000, 0.922607, 0.263428, 0.310425, -8.483887, 132.080078, -55.908218,left_up
179766, 0.000000, 0.878174, 0.313354, 0.484009, 50.109879, 134.704590, -63.598648,left_up
179786, 0.000000, 0.812134, 0.635986, 0.606567, 70.495605, 116.882355, -56.945816,left_up
179806, 0.000000, 0.771851, 0.850098, 0.724854, 28.564461, 78.369141, -30.212410,left_up
179826, 0.000000, 0.755615, 0.832153, 0.796143, -14.587406, 32.226563, 1.342773,left_up
179846, 0.000000, 0.759277, 0.699707, 0.794556, -29.357918, -10.986328, 27.954109,left_up
179866, 0.000000, 0.783447, 0.491821, 0.656128, -12.817387, -56.701675, 52.185074,left_up
179886, 0.000000, 0.828491, 0.408325, 0.532715, -4.150391, -73.425293, 57.067886,left_up
179906, 0.000000, 0.869019, 0.354980, 0.430298, -9.094238, -82.031250, 56.091324,left_up
179926, 0.000000, 0.875610, 0.269897, 0.348511, -17.089844, -84.655762, 51.757828,left_up
179946, 0.000000, 0.886108, 0.164917, 0.291016, -9.033203, -81.604004, 44.067383,left_up
179966, 0.000000, 0.877319, 0.140625, 0.215942, 12.329105, -75.622559, 36.376953,left_up
179986, 0.000000, 0.852173, 0.178345, 0.156006, 19.775391, -69.458008, 32.348633,left_up
180006, 0.000000, 0.858276, 0.172485, 0.083496, 7.385256, -63.354507, 31.616219,left_up
180026, 0.000000, 0.859131, 0.132690, 0.036499, -6.286623, -55.114761, 29.479988,left_up
180046, 0.000000, 0.864502, 0.103394, -0.004639, -14.038090, -43.701172, 24.780281,left_up
180066, 0.000000, 0.855469, 0.065796, -0.043457, -16.479492, -29.846199, 18.920898,left_up
180086, 0.000000, 0.834106, 0.037720, -0.085938, -11.413578, -14.282230, 12.207035,left_up
180106, 0.000000, 0.841064, -0.018555, -0.209106, -5.249023, 0.793457, 4.638672,left_up
180126, 0.000000, 0.864746, 0.028564, -0.253296, 7.751467, 17.761230, -9.948730,left_up
180146, 0.000000, 0.943115, 0.067261, -0.030396, -6.469728, 65.795898, -35.705566,left_up
180166, 0.000000, 0.971924, 0.103760, 0.020874, 4.516602, 100.830109, -56.335464,left_up
180186, 0.000000, 0.920776, 0.193848, 0.105103, 1.220703, 121.337921, -66.101074,left_up
180206, 0.000000, 0.857910, 0.171997, 0.229858, 10.375977, 131.164551, -70.068359,left_up
180226, 0.000000, 0.822876, 0.266724, 0.417480, 43.762207, 134.582520, -77.331543,left_up
180246, 0.000000, 0.807617, 0.510864, 0.589478, 58.288589, 127.746613, -78.796387,left_up
180266, 0.000000, 0.781982, 0.727905, 0.708130, 31.311043, 103.759796, -61.340347,left_up
180286, 0.000000, 0.754272, 0.808960, 0.824463, -12.084965, 67.504883, -31.555183,left_up
180306, 0.000000, 0.751831, 0.633057, 0.870117, -19.042969, 29.174812, -5.126953,left_up
180326, 0.000000, 0.755737, 0.586670, 0.836426, 13.244633, -6.347658, 12.207035,left_up
180346, 0.000000, 0.782471, 0.570313, 0.755005, 20.446777, -37.475586, 27.465828,left_up
180366, 0.000000, 0.800537, 0.532959, 0.666138, 10.803223, -60.546890, 37.658691,left_up
180386, 0.000000, 0.828613, 0.482056, 0.566284, -7.873537, -75.866699, 43.395996,left_up
180406, 0.000000, 0.835693, 0.393677, 0.467773, -28.869637, -85.266113, 46.325699,left_up
180426, 0.000000, 0.843262, 0.205200, 0.355591, -16.723633, -87.158203, 39.978027,left_up
180446, 0.000000, 0.842407, 0.189941, 0.287231, 7.385256, -83.435059, 33.447266,left_up
180466, 0.000000, 0.854858, 0.232910, 0.237305, 16.113281, -78.552246, 29.541023,left_up
180486, 0.000000, 0.857788, 0.245117, 0.162109, 6.835939, -73.791504, 28.686531,left_up
180506, 0.000000, 0.846680, 0.232422, 0.098389, -8.178711, -68.298340, 27.832039,left_up
180526, 0.000000, 0.845581, 0.168213, 0.019043, -13.488773, -59.875504, 24.719246,left_up
180546, 0.000000, 0.850830, 0.114014, -0.031738, -8.666992, -47.851578, 20.263672,left_up
180566, 0.000000, 0.860596, 0.112183, -0.063843, -1.037598, -30.700691, 13.549809,left_up
180586, 0.000000, 0.889893, 0.119629, -0.100708, -7.751467, -11.169437, 6.958010,left_up
180606, 0.000000, 0.903564, 0.116211, -0.117920, -19.409180, 9.948730, -1.403809,left_up
180626, 0.000000, 0.913330, 0.099854, -0.112549, -25.878914, 32.714844, -11.535648,left_up
180646, 0.000000, 0.932739, 0.066772, -0.077393, -18.188477, 57.434097, -23.986824,left_up
180666, 0.000000, 0.930054, 0.077271, 0.008301, 7.263186, 83.068848, -40.222168,left_up
180686, 0.000000, 0.920288, 0.193481, 0.112671, 23.437508, 104.797394, -54.870621,left_up
180706, 0.000000, 0.875854, 0.275269, 0.307617, 20.874023, 122.924835, -67.749023,left_up
180726, 0.000000, 0.828491, 0.298950, 0.449463, 45.898453, 126.770050, -77.941895,left_up
180746, 0.000000, 0.757446, 0.467407, 0.560303, 73.913574, 117.370636, -80.444336,left_up
180766, 0.000000, 0.712402, 0.739380, 0.688843, 46.936050, 90.454132, -60.546890,left_up
180786, 0.000000, 0.701416, 0.822021, 0.792480, 1.770020, 54.626480, -30.334480,left_up
180806, 0.000000, 0.709961, 0.793701, 0.847168, -18.005371, 17.456055, -2.929688,left_up
180826, 0.000000, 0.708252, 0.719482, 0.810547, -21.728516, -19.897461, 23.315437,left_up
180846, 0.000000, 0.724854, 0.579468, 0.718506, -12.695316, -51.391617, 43.518066,left_up
180866, 0.000000, 0.753784, 0.489746, 0.582886, -2.136230, -73.120117, 53.894058,left_up
180886, 0.000000, 0.807251, 0.437500, 0.464966, -8.422852, -86.181641, 57.067886,left_up
180906, 0.000000, 0.866089, 0.378906, 0.402832, -15.991215, -90.271027, 52.490250,left_up
180926, 0.000000, 0.886963, 0.299316, 0.356079, -4.882813, -86.853027, 43.579102,left_up
180946, 0.000000, 0.876221, 0.253906, 0.285645, 14.221195, -80.993652, 39.611816,left_up
180966, 0.000000, 0.870972, 0.263062, 0.215942, 21.057129, -74.645996, 40.466309,left_up
180986, 0.000000, 0.888062, 0.227051, 0.155273, 17.211914, -61.035172, 38.635254,left_up
181006, 0.000000, 0.876709, 0.191406, 0.105103, 19.714355, -50.170914, 35.339355,left_up
181026, 0.000000, 0.864624, 0.185181, 0.052368, 15.625004, -40.893555, 33.874512,left_up
181046, 0.000000, 0.863525, 0.162964, 0.008179, 0.366211, -31.860359, 32.348633,left_up
181066, 0.000000, 0.865356, 0.107178, -0.018433, -7.019045, -20.874023, 26.306160,left_up
181086, 0.000000, 0.862427, 0.091187, -0.037109, -13.366703, -7.995607, 17.517090,left_up
181106, 0.000000, 0.869019, 0.060913, -0.061523, -18.554688, 6.164553, 7.141115,left_up
181126, 0.000000, 0.881714, 0.058960, -0.084351, -26.428230, 20.263672, -2.685547,left_up
181146, 0.000000, 0.903687, 0.027710, -0.096680, -35.339355, 36.682129, -13.305668,left_up
181166, 0.000000, 0.918091, -0.053589, -0.097778, -33.203125, 57.556168, -27.832039,left_up
