timestamp,ax,ay,az,gx,gy,gz,activity
2846949, 0.355591, 0.168579, -0.916748, -0.427246, -0.610352, -1.037598,nothing
2846969, 0.356201, 0.170532, -0.921021, -0.427246, -0.915528, -0.244141,nothing
2846989, 0.357300, 0.169312, -0.921387, -0.244141, -0.427246, 0.183106,nothing
2847009, 0.352173, 0.167847, -0.919678, -0.427246, -0.427246, 0.061035,nothing
2847029, 0.354736, 0.167603, -0.920532, -0.305176, -0.793457, 0.122070,nothing
2847049, 0.349121, 0.163452, -0.919312, -0.305176, -0.854492, -0.305176,nothing
2847069, 0.353149, 0.165283, -0.918091, -0.305176, -1.342773, -0.549316,nothing
2847089, 0.348389, 0.165527, -0.916382, -0.244141, -1.708985, -0.427246,nothing
2847109, 0.347534, 0.168457, -0.917480, -0.671387, -1.281738, -0.183106,nothing
2847129, 0.345337, 0.171509, -0.919067, -0.671387, -0.488281, -0.183106,nothing
2847149, 0.350098, 0.170654, -0.921509, -0.610352, -0.183106, -0.488281,nothing
2847169, 0.351807, 0.171875, -0.921509, -0.488281, -0.915528, -0.671387,nothing
2847189, 0.352295, 0.172119, -0.921997, -0.183106, -1.220703, -0.488281,nothing
2847209, 0.348389, 0.170776, -0.917969, -0.183106, -1.037598, -0.366211,nothing
2847229, 0.348633, 0.171387, -0.916626, -0.427246, -0.610352, -0.305176,nothing
2847249, 0.349976, 0.170044, -0.919556, -0.549316, -0.793457, -0.427246,nothing
2847269, 0.346558, 0.171753, -0.921387, -0.427246, -0.793457, -0.427246,nothing
2847289, 0.348755, 0.170288, -0.922119, -0.183106, -0.610352, -0.427246,nothing
2847309, 0.346191, 0.167847, -0.919189, -0.244141, -0.732422, -0.488281,nothing
2847329, 0.347534, 0.168823, -0.918945, -0.427246, -0.488281, -0.366211,nothing
2847349, 0.347290, 0.169922, -0.919556, -0.305176, -0.305176, -0.305176,nothing
2847369, 0.352539, 0.170532, -0.921509, -0.244141, -0.183106, -0.183106,nothing
2847389, 0.352661, 0.169800, -0.920532, -0.244141, -0.549316, -0.122070,nothing
2847409, 0.350464, 0.166626, -0.917725, -0.305176, -0.549316, -0.183106,nothing
2847429, 0.350220, 0.166504, -0.917847, -0.427246, -0.549316, -0.244141,nothing
