timestamp,ax,ay,az,gx,gy,gz,activity
1453653, 0.387695, -0.236206, 0.873535, -9.826660, -1.159668, 2.502441,nothing_right
1453673, 0.391479, -0.235229, 0.861938, -9.155273, 0.000000, 2.502441,nothing_right
1453693, 0.385620, -0.241943, 0.860962, -16.845703, 2.624512, 4.943848,nothing_right
1453713, 0.378906, -0.246582, 0.856201, -28.503426, 4.516602, 7.934572,nothing_right
1453733, 0.380127, -0.282715, 0.881470, -37.170410, 5.615236, 9.826660,nothing_right
1453753, 0.383667, -0.362183, 0.935669, -6.835939, -0.610352, 4.028320,nothing_right
1453773, 0.383667, -0.308594, 0.915894, 8.911133, -3.845216, -0.305176,nothing_right
1453793, 0.369629, -0.269531, 0.901001, 1.708985, -3.662110, -0.732422,nothing_right
1453813, 0.389893, -0.277100, 0.887329, -7.080080, -1.647950, -0.610352,nothing_right
1453833, 0.379883, -0.298340, 0.889038, -8.728027, -2.319336, -1.647950,nothing_right
1453853, 0.417847, -0.274902, 0.878906, -3.845216, -3.173829, -4.394531,nothing_right
1453873, 0.376831, -0.277222, 0.861694, -1.342773, -3.540040, -5.798342,nothing_right
1453893, 0.407593, -0.276367, 0.853882, -2.685547, -2.502441, -4.516602,nothing_right
1453913, 0.397339, -0.265015, 0.856079, -3.540040, -1.098633, -4.089355,nothing_right
1453933, 0.394897, -0.263062, 0.860718, 1.586915, -0.976563, -5.065918,nothing_right
1453953, 0.392700, -0.266846, 0.873779, 5.615236, 1.220703, -3.967286,nothing_right
1453973, 0.392456, -0.252075, 0.870605, 6.225588, 2.075195, -2.624512,nothing_right
1453993, 0.394653, -0.243164, 0.868896, 3.784181, 1.892090, -1.525879,nothing_right
1454013, 0.393555, -0.254395, 0.875244, 0.000000, 1.525879, -0.122070,nothing_right
1454033, 0.400024, -0.260254, 0.882690, 0.061035, 1.403809, 0.915528,nothing_right
1454053, 0.394897, -0.265015, 0.885498, 0.610352, 1.708985, 1.647950,nothing_right
1454073, 0.390137, -0.271118, 0.886230, 2.685547, 0.793457, 1.708985,nothing_right
1454093, 0.391602, -0.261963, 0.883057, 1.098633, 0.244141, 2.258301,nothing_right
1454113, 0.391724, -0.268433, 0.884033, -1.586915, 0.366211, 2.624512,nothing_right
1454133, 0.389404, -0.275757, 0.881592, -1.831055, 0.488281, 2.624512,nothing_right
1454153, 0.387451, -0.274048, 0.874878, -3.540040, 1.220703, 2.624512,nothing_right
1454173, 0.381104, -0.285889, 0.860718, -4.516602, 1.403809, 2.807618,nothing_right
1454193, 0.389160, -0.288574, 0.859497, -5.493164, 2.197266, 3.601075,nothing_right
1454213, 0.390503, -0.281372, 0.856323, -10.742188, 3.967286, 4.516602,nothing_right
1454233, 0.388428, -0.301147, 0.857056, -16.052246, 5.554201, 5.371094,nothing_right
1454253, 0.383545, -0.332520, 0.864136, -23.071297, 7.202150, 7.568361,nothing_right
1454273, 0.375610, -0.351196, 0.864746, -29.724129, 8.300781, 9.826660,nothing_right
1454293, 0.367432, -0.373901, 0.874756, -28.564461, 7.446291, 8.178711,nothing_right
1454313, 0.368652, -0.398926, 0.885498, -16.906738, 4.943848, 3.295899,nothing_right
1454333, 0.370361, -0.384033, 0.886963, -1.098633, 1.953125, -2.380371,nothing_right
1454353, 0.373901, -0.355469, 0.887207, 4.577637, 2.075195, -5.920412,nothing_right
1454373, 0.363159, -0.326538, 0.874878, 4.394531, 3.601075, -8.605957,nothing_right
1454393, 0.360840, -0.307495, 0.862671, 3.173829, 3.479005, -10.314941,nothing_right
1454413, 0.357422, -0.303223, 0.861816, 2.014160, 2.258301, -11.291508,nothing_right
1454433, 0.370239, -0.293335, 0.870117, 0.793457, 1.708985, -10.925293,nothing_right
1454453, 0.381226, -0.299683, 0.884399, 2.319336, 1.647950, -9.826660,nothing_right
1454473, 0.383301, -0.296143, 0.887573, 5.493164, 1.831055, -8.056641,nothing_right
1454493, 0.384521, -0.276001, 0.875122, 4.150391, 3.112794, -5.554201,nothing_right
1454513, 0.368652, -0.279175, 0.866577, 0.549316, 3.601075, -3.173829,nothing_right
1454533, 0.369019, -0.292725, 0.872314, -0.366211, 2.807618, -0.610352,nothing_right
1454553, 0.376343, -0.288696, 0.878784, -2.197266, 2.441406, 1.403809,nothing_right
1454573, 0.378906, -0.308228, 0.887451, 5.004883, 1.525879, 1.342773,nothing_right
1454593, 0.376831, -0.296875, 0.874512, 4.516602, 2.258301, 2.075195,nothing_right
1454613, 0.358276, -0.300049, 0.872437, -2.197266, 3.295899, 3.295899,nothing_right
1454633, 0.353638, -0.306641, 0.876587, -2.441406, 1.831055, 2.807618,nothing_right
1454653, 0.365356, -0.317383, 0.886597, -1.159668, 0.427246, 1.831055,nothing_right
1454673, 0.370117, -0.325195, 0.889282, 2.807618, -0.183106, 1.098633,nothing_right
1454693, 0.374146, -0.318115, 0.888062, 3.784181, 0.549316, 1.647950,nothing_right
1454713, 0.369141, -0.312500, 0.875244, 0.915528, 1.586915, 2.807618,nothing_right
1454733, 0.354492, -0.318237, 0.872070, -0.366211, 0.976563, 2.136230,nothing_right
1454753, 0.365234, -0.318359, 0.868042, 1.159668, -0.183106, 1.586915,nothing_right
1454773, 0.371338, -0.325317, 0.869507, -1.342773, 1.098633, 2.685547,nothing_right
1454793, 0.364868, -0.331055, 0.873901, 0.793457, 1.586915, 2.197266,nothing_right
1454813, 0.357300, -0.331421, 0.875488, 1.708985, 2.075195, 1.831055,nothing_right
1454833, 0.355469, -0.326538, 0.868896, 0.976563, 2.868653, 1.770020,nothing_right
1454853, 0.355469, -0.323486, 0.872681, -2.197266, 3.479005, 1.525879,nothing_right
1454873, 0.354980, -0.346436, 0.892212, -3.051759, 3.540040, 0.732422,nothing_right
1454893, 0.358887, -0.348022, 0.896973, -1.770020, 3.173829, -0.488281,nothing_right
1454913, 0.360596, -0.336060, 0.882324, -3.601075, 2.807618, -2.502441,nothing_right
1454933, 0.348999, -0.341431, 0.878052, -1.708985, 0.732422, -4.638672,nothing_right
1454953, 0.359009, -0.329102, 0.881470, -0.366211, -0.793457, -5.371094,nothing_right
1454973, 0.361206, -0.320068, 0.883057, -1.159668, -1.525879, -4.760742,nothing_right
1454993, 0.368042, -0.314087, 0.878906, 1.220703, -1.892090, -3.784181,nothing_right
1455013, 0.364014, -0.303955, 0.869507, -0.366211, -0.366211, -1.220703,nothing_right
1455033, 0.356201, -0.305420, 0.862793, -2.868653, 1.586915, 0.976563,nothing_right
1455053, 0.354370, -0.306885, 0.856812, -0.183106, 1.831055, 0.732422,nothing_right
1455073, 0.361938, -0.304199, 0.858643, 1.220703, 2.258301, 0.305176,nothing_right
1455093, 0.363037, -0.310059, 0.859619, -0.366211, 4.028320, 0.976563,nothing_right
1455113, 0.353149, -0.308350, 0.867554, -1.708985, 5.004883, 0.915528,nothing_right
1455133, 0.354370, -0.325317, 0.880737, 2.502441, 4.577637, -0.183106,nothing_right
1455153, 0.357788, -0.316162, 0.881104, 4.089355, 4.455566, -0.488281,nothing_right
1455173, 0.356079, -0.314087, 0.878174, 4.455566, 5.126953, 0.488281,nothing_right
1455193, 0.346558, -0.311401, 0.877441, 1.708985, 5.920412, 3.051759,nothing_right
1455213, 0.343750, -0.320557, 0.892944, -0.976563, 5.493164, 3.662110,nothing_right
1455233, 0.344116, -0.327637, 0.904663, 1.586915, 3.540040, 2.624512,nothing_right
1455253, 0.347290, -0.327148, 0.906006, 2.990724, 2.197266, 2.075195,nothing_right
1455273, 0.347534, -0.325684, 0.904785, 0.549316, 1.586915, 2.319336,nothing_right
1455293, 0.341919, -0.329102, 0.899292, -0.366211, 0.488281, 1.770020,nothing_right
1455313, 0.338379, -0.328003, 0.891968, -0.854492, -0.976563, 0.854492,nothing_right
1455333, 0.344604, -0.331299, 0.885254, -1.037598, -1.586915, 0.610352,nothing_right
1455353, 0.350708, -0.327271, 0.885620, -2.075195, -1.464844, 1.037598,nothing_right
1455373, 0.343506, -0.332642, 0.882202, 1.220703, -2.258301, 0.732422,nothing_right
