timestamp,ax,ay,az,gx,gy,gz,activity
25080, 1.000000, 0.504028, -0.469482, 0.724487, 2.319336, 0.427246, -1.220703,right_down
25100, 1.000000, 0.504639, -0.469116, 0.728394, 1.586915, 0.793457, -0.915528,right_down
25120, 1.000000, 0.498779, -0.474365, 0.731079, 0.854492, 1.159668, -1.342773,right_down
25140, 1.000000, 0.498901, -0.473755, 0.737061, 0.610352, 1.220703, -2.136230,right_down
25160, 1.000000, 0.500854, -0.473022, 0.740967, 0.915528, 0.854492, -2.502441,right_down
25180, 1.000000, 0.500000, -0.460693, 0.736206, 0.305176, 0.244141, -2.563477,right_down
25200, 1.000000, 0.503784, -0.455811, 0.736450, -0.366211, -0.244141, -1.953125,right_down
25220, 1.000000, 0.504517, -0.462036, 0.744629, -1.159668, -0.183106, -0.976563,right_down
25240, 1.000000, 0.504028, -0.468628, 0.750000, 2.380371, -0.061035, -1.220703,right_down
25260, 1.000000, 0.503296, -0.465820, 0.749634, 1.892090, -0.427246, -1.281738,right_down
25280, 1.000000, 0.499268, -0.465698, 0.754639, 2.441406, -0.915528, -1.770020,right_down
25300, 1.000000, 0.511230, -0.466187, 0.755493, 1.037598, -1.220703, -1.831055,right_down
25320, 1.000000, 0.527466, -0.484375, 0.766968, 2.746582, -1.281738, -2.075195,right_down
25340, 1.000000, 0.536377, -0.479736, 0.763062, 7.751467, -1.220703, -3.906251,right_down
25360, 1.000000, 0.526978, -0.477051, 0.708008, 21.423340, -0.793457, -8.544922,right_down
25380, 1.000000, 0.492310, -0.374268, 0.541016, 34.362793, 1.159668, -10.620117,right_down
25400, 1.000000, 0.494995, -0.185059, 0.364014, -11.901859, 12.695316, 1.464844,right_down
25420, 1.000000, 0.523071, -0.305420, 0.362427, -33.508301, 43.029785, 15.258793,right_down
25440, 1.000000, 0.501953, -0.394653, 0.407959, 6.408693, 82.214355, 24.597176,right_down
25460, 1.000000, 0.432129, -0.430298, 0.655518, 68.542480, 122.802765, 44.311539,right_down
25480, 1.000000, 0.318604, -0.430908, 0.945068, 104.126007, 128.784180, 50.476089,right_down
25500, 1.000000, 0.242432, -0.370361, 1.268188, 59.143082, 115.417511, 60.363785,right_down
25520, 1.000000, 0.115234, -0.541260, 1.515259, 2.624512, 77.880859, 55.480972,right_down
25540, 1.000000, 0.136719, -0.687622, 1.520142, -19.042969, 27.954109, 33.081055,right_down
25560, 1.000000, 0.164917, -0.689819, 1.405029, 5.126953, -22.888191, 1.770020,right_down
25580, 1.000000, 0.212769, -0.522827, 1.236572, -1.831055, -59.814468, -19.470215,right_down
25600, 1.000000, 0.274780, -0.467651, 1.048828, -24.353035, -80.749512, -28.381355,right_down
25620, 1.000000, 0.341797, -0.450439, 0.921631, -31.433113, -87.158203, -32.165527,right_down
25640, 1.000000, 0.386841, -0.434448, 0.815796, -20.080566, -85.449219, -33.264160,right_down
25660, 1.000000, 0.430054, -0.395142, 0.750000, -8.361816, -78.186035, -15.686039,right_down
25680, 1.000000, 0.468384, -0.370728, 0.708862, -1.098633, -61.340347, -23.864754,right_down
25700, 1.000000, 0.461792, -0.359253, 0.694092, -5.310059, -49.987808, -20.202637,right_down
25720, 1.000000, 0.480469, -0.402344, 0.680786, -1.586915, -39.428711, -18.554688,right_down
25740, 1.000000, 0.474854, -0.413818, 0.671387, 12.268070, -29.846199, -18.310547,right_down
25760, 1.000000, 0.480103, -0.390991, 0.678711, 20.141602, -21.118164, -17.700195,right_down
25780, 1.000000, 0.463379, -0.370850, 0.670410, 27.465828, -15.991215, -18.127441,right_down
25800, 1.000000, 0.451904, -0.338013, 0.633423, 29.907234, -14.160160, -18.371582,right_down
25820, 1.000000, 0.445923, -0.262085, 0.567871, 27.526863, -12.756351, -16.540527,right_down
25840, 1.000000, 0.462769, -0.207397, 0.512573, 5.615236, -6.225588, -9.338379,right_down
25860, 1.000000, 0.479370, -0.225586, 0.455322, -17.761230, 4.699707, 1.159668,right_down
25880, 1.000000, 0.472290, -0.259766, 0.391113, -28.198250, 29.663094, 16.235352,right_down
25900, 1.000000, 0.529175, -0.356567, 0.472046, -16.967773, 59.631363, 27.648933,right_down
25920, 1.000000, 0.530640, -0.448242, 0.643433, 18.310547, 94.299347, 36.926270,right_down
25940, 1.000000, 0.390991, -0.486816, 0.871826, 63.659683, 116.149933, 38.574219,right_down
25960, 1.000000, 0.332153, -0.396240, 1.082397, 81.970215, 111.816437, 34.423828,right_down
25980, 1.000000, 0.292480, -0.294556, 1.219482, 47.424332, 82.397461, 38.146973,right_down
26000, 1.000000, 0.270142, -0.370361, 1.310791, 3.601075, 39.855957, 40.771484,right_down
26020, 1.000000, 0.268555, -0.451294, 1.310059, -14.038090, 0.854492, 34.118652,right_down
26040, 1.000000, 0.279419, -0.509399, 1.238403, -32.348633, -29.296883, 21.423340,right_down
26060, 1.000000, 0.309692, -0.573608, 1.163086, -32.531738, -49.133316, 2.563477,right_down
26080, 1.000000, 0.360840, -0.510010, 1.005127, -22.766121, -66.162109, -22.766121,right_down
26100, 1.000000, 0.401733, -0.460449, 0.914673, -28.808601, -72.021484, -31.127937,right_down
26120, 1.000000, 0.429565, -0.459473, 0.847900, -29.846199, -73.486328, -34.912109,right_down
26140, 1.000000, 0.449097, -0.441162, 0.796021, -24.902351, -72.082520, -36.865234,right_down
26160, 1.000000, 0.468750, -0.403809, 0.750732, -24.108894, -68.420410, -36.560059,right_down
26180, 1.000000, 0.483276, -0.384521, 0.709839, -29.052742, -62.561050, -34.484863,right_down
26200, 1.000000, 0.505371, -0.372192, 0.671875, -28.442390, -55.114761, -32.226563,right_down
26220, 1.000000, 0.511353, -0.365723, 0.629150, -26.367195, -47.058121, -30.090340,right_down
26240, 1.000000, 0.509155, -0.367920, 0.594727, -12.084965, -37.536621, -29.663094,right_down
26260, 1.000000, 0.537964, -0.344238, 0.555420, 4.028320, -24.963387, -26.672371,right_down
26280, 1.000000, 0.531616, -0.240479, 0.494751, 2.380371, -3.112794, -15.258793,right_down
26300, 1.000000, 0.512207, -0.215942, 0.450562, -8.728027, 10.986328, -4.821777,right_down
26320, 1.000000, 0.529297, -0.177612, 0.418457, -29.968269, 25.207527, 8.605957,right_down
26340, 1.000000, 0.530762, -0.281372, 0.423950, -29.052742, 41.564941, 21.972656,right_down
26360, 1.000000, 0.538086, -0.397339, 0.485352, 8.056641, 60.485855, 32.165527,right_down
26380, 1.000000, 0.492920, -0.384766, 0.550171, 48.584000, 78.613281, 37.902832,right_down
26400, 1.000000, 0.387573, -0.296509, 0.592651, 48.828140, 92.163116, 44.311539,right_down
26420, 1.000000, 0.390015, -0.280884, 0.704956, 2.685547, 98.693878, 52.917496,right_down
26440, 1.000000, 0.390991, -0.489746, 0.846191, -1.770020, 99.426300, 54.687515,right_down
26460, 1.000000, 0.346313, -0.591064, 0.965454, 38.696289, 93.505890, 47.668472,right_down
26480, 1.000000, 0.266724, -0.410400, 1.045166, 62.316910, 72.631836, 32.897949,right_down
26500, 1.000000, 0.271118, -0.340088, 1.156128, -15.197758, 58.105484, 35.156250,right_down
26520, 1.000000, 0.211304, -0.513916, 1.220581, -62.744156, 35.400391, 28.869637,right_down
26540, 1.000000, 0.216431, -0.636230, 1.229126, -61.340347, 5.310059, 11.840824,right_down
26560, 1.000000, 0.257446, -0.676636, 1.188110, -41.992188, -22.766121, -6.225588,right_down
26580, 1.000000, 0.258057, -0.683472, 1.192871, -8.911133, -42.541504, -25.756844,right_down
26600, 1.000000, 0.252197, -0.583618, 1.116943, 20.568848, -57.495132, -41.259766,right_down
26620, 1.000000, 0.260864, -0.452637, 1.015015, 7.873537, -68.908691, -45.959488,right_down
26640, 1.000000, 0.311890, -0.411011, 0.918457, -14.892582, -77.087402, -45.104996,right_down
26660, 1.000000, 0.381470, -0.416016, 0.835205, -24.475105, -79.711914, -42.175293,right_down
26680, 1.000000, 0.412476, -0.431641, 0.762939, -20.629883, -76.538086, -38.818359,right_down
26700, 1.000000, 0.446899, -0.367798, 0.683716, -7.202150, -70.922852, -35.095215,right_down
