timestamp,ax,ay,az,gx,gy,gz,activity
41860, 1.000000, 0.925903, -0.056152, 0.318359, -22.521980, 0.854492, 9.643555,right_up
41880, 1.000000, 0.917847, -0.120483, 0.308960, 1.464844, 2.197266, 1.037598,right_up
41900, 1.000000, 0.949951, 0.024536, 0.369751, 4.760742, 3.601075, -4.821777,right_up
41921, 1.000000, 0.945923, -0.033203, 0.362671, -8.972168, 2.258301, -5.676271,right_up
41941, 1.000000, 0.923218, -0.009521, 0.413696, -9.582520, -3.540040, -6.530764,right_up
41961, 1.000000, 0.917725, -0.039673, 0.439331, -13.916019, -7.629396, -6.835939,right_up
41981, 1.000000, 0.936401, -0.027344, 0.427124, -6.347658, -12.512211, -9.887695,right_up
42001, 1.000000, 0.947388, -0.036865, 0.389771, 2.929688, -19.531250, -12.695316,right_up
42021, 1.000000, 0.936401, -0.028076, 0.347900, 28.076180, -27.038582, -15.869144,right_up
42041, 1.000000, 0.957886, 0.014038, 0.319092, 33.935547, -31.860359, -14.221195,right_up
42061, 1.000000, 0.967651, 0.069214, 0.311646, 31.860359, -31.738289, -11.901859,right_up
42081, 1.000000, 0.968262, 0.070557, 0.299194, 9.338379, -29.174812, -7.324221,right_up
42101, 1.000000, 0.977783, 0.069336, 0.280762, -0.915528, -27.954109, -2.990724,right_up
42121, 1.000000, 0.943359, 0.015747, 0.230957, -9.582520, -28.015144, 2.746582,right_up
42141, 1.000000, 0.926636, 0.081177, 0.176392, -10.253906, -27.771004, 8.239746,right_up
42161, 1.000000, 0.869019, -0.014771, 0.112671, -21.911621, -25.695808, 12.573246,right_up
42181, 1.000000, 0.858032, 0.002319, 0.040649, 3.723145, -22.766121, 10.498047,right_up
42201, 1.000000, 0.868774, -0.056885, -0.014648, 4.882813, -17.150879, 14.038090,right_up
42221, 1.000000, 0.943115, 0.107178, -0.028687, -11.779789, -4.699707, 19.287109,right_up
42241, 1.000000, 0.941284, -0.000854, -0.098633, -77.453613, 10.131836, 26.733406,right_up
42261, 1.000000, 1.069092, -0.171143, -0.062256, -76.354980, 41.076660, 18.188477,right_up
42281, 1.000000, 1.143677, -0.203613, -0.001221, 9.948730, 76.721191, -3.295899,right_up
42301, 1.000000, 1.082031, -0.050171, 0.141235, 21.728516, 103.515656, -13.183598,right_up
42321, 1.000000, 0.957031, 0.020142, 0.306885, -3.295899, 113.342316, -14.221195,right_up
42341, 1.000000, 0.829468, -0.023926, 0.509155, -4.455566, 96.557648, -11.047363,right_up
42361, 1.000000, 0.849243, -0.017334, 0.605225, -7.507326, 79.589844, -5.493164,right_up
42381, 1.000000, 0.878418, 0.019165, 0.695068, -17.395020, 64.758301, -0.122070,right_up
42401, 1.000000, 0.911743, 0.031860, 0.765747, -29.968269, 48.706070, 3.540040,right_up
42421, 1.000000, 0.922485, -0.024658, 0.808716, -29.418953, 34.912109, 5.126953,right_up
42441, 1.000000, 0.891357, -0.031494, 0.811523, -30.151375, 17.944336, 7.202150,right_up
42461, 1.000000, 0.879028, -0.066162, 0.778564, -21.545410, -0.671387, 6.286623,right_up
42481, 1.000000, 0.872070, -0.072754, 0.716431, -12.512211, -17.272949, 4.272461,right_up
42501, 1.000000, 0.853882, -0.092651, 0.628174, 1.770020, -32.775879, 1.708985,right_up
42521, 1.000000, 0.873291, -0.048584, 0.563354, 4.394531, -43.640137, 1.403809,right_up
42541, 1.000000, 0.884888, -0.088135, 0.470825, 6.042482, -49.804703, -1.037598,right_up
42561, 1.000000, 0.887573, -0.074219, 0.426758, 20.202637, -50.415054, -5.676271,right_up
42581, 1.000000, 0.887207, -0.064087, 0.371094, 27.343758, -49.926773, -8.850098,right_up
42601, 1.000000, 0.877319, -0.034668, 0.336792, 28.076180, -48.828140, -8.789063,right_up
42621, 1.000000, 0.905273, -0.014771, 0.310791, -1.525879, -43.579102, -2.807618,right_up
42641, 1.000000, 0.894287, -0.087280, 0.238159, 0.305176, -38.818359, -3.723145,right_up
42661, 1.000000, 0.911011, -0.067017, 0.193359, 10.070801, -33.081055, -6.835939,right_up
42681, 1.000000, 0.900635, -0.055542, 0.141724, 15.991215, -22.827156, -9.521484,right_up
42701, 1.000000, 0.880737, -0.043091, 0.098633, 20.324707, -14.526371, -10.925293,right_up
42721, 1.000000, 0.868042, -0.052124, 0.060425, 32.775879, -1.342773, -11.718754,right_up
42741, 1.000000, 0.917114, 0.005859, 0.074707, 24.292000, 13.610844, -7.141115,right_up
42761, 1.000000, 0.964722, 0.005981, 0.139038, 1.037598, 42.602539, -1.586915,right_up
42781, 1.000000, 0.987427, 0.021118, 0.230713, 0.061035, 60.180679, -1.770020,right_up
42801, 1.000000, 0.990967, 0.042480, 0.318481, -2.746582, 72.448730, -1.220703,right_up
42821, 1.000000, 0.979370, 0.053589, 0.480103, -4.272461, 77.270508, 1.342773,right_up
42841, 1.000000, 0.940186, 0.060425, 0.611938, -5.798342, 71.594238, 5.615236,right_up
42861, 1.000000, 0.884766, 0.048950, 0.733276, -20.019531, 56.335464, 11.901859,right_up
42881, 1.000000, 0.875488, -0.022461, 0.782837, -24.963387, 34.729004, 15.014652,right_up
42901, 1.000000, 0.869263, -0.045532, 0.799316, -7.019045, 10.742188, 11.535648,right_up
42921, 1.000000, 0.886475, -0.045532, 0.773560, 2.258301, -10.864258, 8.666992,right_up
42941, 1.000000, 0.910034, -0.027222, 0.723267, 4.455566, -28.137215, 6.225588,right_up
42961, 1.000000, 0.906006, -0.078125, 0.604980, -8.300781, -44.372574, 2.685547,right_up
42981, 1.000000, 0.900146, -0.087036, 0.507324, 8.422852, -52.612320, -4.150391,right_up
43001, 1.000000, 0.908936, -0.038330, 0.441040, 10.681152, -55.175797, -7.263186,right_up
43021, 1.000000, 0.910645, -0.040039, 0.378418, 6.042482, -53.649918, -7.202150,right_up
